AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	breed	collected_by	collection_date	geo_loc_name	identified_by	isolate	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	host	tissue
100	SAMN06921454	SRX2838980	ap36_rep1	2962	1938	SRR5580779	SRS2212673	ap36	feral	UC Riverside	2002	USA:CA: LA Co. San Pedro, replicate 2	UC Riverside	worker bee	Coastal Sage	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921451	SRX2838979	ap45_rep1	2327	1506	SRR5580780	SRS2212672	ap45	feral	UC Riverside	1999	USA:CA: LA Co. Placerita Cyn. Nat. Area, replicate 4	UC Riverside	worker bee	Placerita Canyon Natural Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921449	SRX2838973	ap42_rep1	2798	1822	SRR5580786	SRS2212665	ap42	feral	UC Riverside	1999	USA:CA: LA Co. Placerita Cyn. Nat. Area, replicate 2	UC Riverside	worker bee	Placerita Canyon Natural Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921446	SRX2838974	SRCD6C	6010	4231	SRR5580785	SRS2212667	SRCD6C	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. Residential area 25227 Running Horse Rd., replicate 2	Amber Sciligo	worker bee	Residential Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921447	SRX2838975	SRCD11A	6628	4534	SRR5580784	SRS2212669	SRCD11A	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. Residential area 25227 Running Horse Rd., replicate 3	Amber Sciligo	worker bee	Residential Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921452	SRX2838976	ap48_rep1	2887	1868	SRR5580783	SRS2212668	ap48	feral	UC Riverside	1999	USA:CA: LA Co. Placerita Cyn. Nat. Area, replicate 5	UC Riverside	worker bee	Placerita Canyon Natural Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921453	SRX2838977	ap35_rep1	2555	1639	SRR5580782	SRS2212670	ap35	feral	UC Riverside	2002	USA:CA: LA Co. San Pedro, replicate 1	UC Riverside	worker bee	Coastal Sage	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921450	SRX2838978	ap43_rep1	2480	1617	SRR5580781	SRS2212671	ap43	feral	UC Riverside	1999	USA:CA: LA Co. Placerita Cyn. Nat. Area, replicate 3	UC Riverside	worker bee	Placerita Canyon Natural Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921475	SRX2838961	SRCD10B	6903	4639	SRR5580798	SRS2212652	SRCD10B	feral	Amber Sciligo	2014	USA:CA: Riverside Co., NEAR 1000 Palms Oasis, in Sky Valley at 77810 Las Montanas Rd, Plam Desert 92211, replicate 1	Amber Sciligo	worker bee	Nature Preserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921457	SRX2838962	ap24_rep1	902	568	SRR5580797	SRS2212657	ap24	feral	California Academy of Sciences	1910	USA:CA: Los Angeles Co., Catalina Is. Avalon, replicate 1	California Academy of Sciences	worker bee	Catalina Island	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
