BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	geographic_location_s	label_s	strain_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	sex_s
SAMN02324172	SRX339487	2013-08-28	9997	7502	Apis mellifera	SRR957058	SRS473207	M218	Rudawka, Poland	M218	Apis mellifera mellifera	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324173	SRX339488	2013-08-28	8685	6513	Apis mellifera	SRR957059	SRS473208	M226	Sucha Rzeczka, Poland	M226	Apis mellifera mellifera	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324174	SRX339489	2013-08-29	8573	6243	Apis mellifera	SRR957060	SRS473209	M227	Sucha Rzeczka, Poland	M227	Apis mellifera mellifera	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324175	SRX339490	2013-08-29	7925	5842	Apis mellifera	SRR957061	SRS473210	M233	Cordoba, Spain	M233	Apis mellifera iberiensis	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324176	SRX339491	2013-08-28	6673	5145	Apis mellifera	SRR957062	SRS473211	M234	Murcia, Spain	M234	Apis mellifera iberiensis	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324177	SRX339492	2013-08-28	9098	6517	Apis mellifera	SRR957063	SRS473212	M248	Murcia, Spain	M248	Apis mellifera iberiensis	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324178	SRX339493	2013-08-28	8666	6080	Apis mellifera	SRR957064	SRS473213	M256	Cordoba, Spain	M256	Apis mellifera iberiensis	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324179	SRX339494	2013-08-26	8941	6355	Apis mellifera	SRR957065	SRS473214	O340		O340	Apis mellifera yemenitica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324180	SRX339495	2013-09-09	8912	6322	Apis mellifera	SRR957066	SRS473215	O341		O341	Apis mellifera yemenitica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324181	SRX339496	2013-09-09	8853	6220	Apis mellifera	SRR957067	SRS473216	O342		O342	Apis mellifera yemenitica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324182	SRX339497	2013-09-09	8811	6190	Apis mellifera	SRR957068	SRS473217	O343		O343	Apis mellifera yemenitica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
