BioSample	Experiment	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	geo_loc_name	label	sex	strain	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
SAMN02596288	SRX456420	2014-01-31	599	407	Apis mellifera	SRR1151485	SRS549155	Amlig_1_201109121	Italy	1	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596288	SRX456420	2014-01-31	612	392	Apis mellifera	SRR1151486	SRS549155	Amlig_1_201109121	Italy	1	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596289	SRX457241	2014-01-31	590	401	Apis mellifera	SRR1152199	SRS549629	Amlig_2_201109121	Italy	2	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596289	SRX457241	2014-01-31	598	381	Apis mellifera	SRR1152200	SRS549629	Amlig_2_201109121	Italy	2	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596290	SRX457242	2014-01-31	562	384	Apis mellifera	SRR1152201	SRS549630	Amlig_7_201109121	Italy	7	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596290	SRX457242	2014-01-31	594	383	Apis mellifera	SRR1152202	SRS549630	Amlig_7_201109121	Italy	7	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596291	SRX457243	2014-01-31	784	531	Apis mellifera	SRR1152203	SRS549631	Amlig_11_201109121	Italy	11	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596291	SRX457243	2014-01-31	793	505	Apis mellifera	SRR1152204	SRS549631	Amlig_11_201109121	Italy	11	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596292	SRX457244	2014-01-31	491	335	Apis mellifera	SRR1152205	SRS549632	Amlig_9_201109121	Italy	9	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596292	SRX457244	2014-01-31	501	321	Apis mellifera	SRR1152206	SRS549632	Amlig_9_201109121	Italy	9	female	A. m. ligustica	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
