LG,total_length,n_scaffolds,ungapped_length,unspanned gaps
1,29893408,43,27319901,42
2,15549267,20,14400797,19
3,13234341,19,12031717,18
4,12718334,16,11825715,15
5,14363272,20,13192408,19
6,18472937,38,16206952,37
7,13219345,24,11812974,23
8,13546544,21,12381912,20
9,11120453,12,10407060,11
10,12965953,29,11372982,28
11,14726556,20,13578127,19
12,11902654,17,10927831,16
13,10288499,15,9321972,14
14,10253655,15,9333258,14
15,10167229,22,8921848,21
16,7207165,9,6689459,8
0,30641045,5304,29382394,0
