CA0801	CA0101	CA0201	CA0301	CA0501	CA0401	CA1401	CA1205	CA1103	CA1001	CA0902	CA1302	CA1501
CA0804	CA0102	CA0202	CA0303	CA0502	CA0403	CA1402	CA1207	CA1104	CA1004	CA0903	CA1305	CA1502
CA0805	CA0108	CA0204	CA0306	CA0504	CA0406	CA1406	CA1211	CA1106	CA1005	CA0905	CA1307	CA1503
CA0810	CA0109	CA0205	CA0308	CA0505	CA0411	CA1408	CA1212	CA1107	CA1007	CA0906	CA1309	CA1504
CA0811	CA0110	CA0208	CA0309	CA0506	CA0412	CA1410	CA1213	CA1110	CA1010	CA0907	CA1312	CA1506
CA0812	CA0112	CA0210	CA0312	CA0508	CA0413	CA1414	CA1214	CA1111	CA1011	CA0909	CA1313	CA1507
CA0813	CA0119	CA0214	CA0314	CA0509	CA0416	CA1415	CA1215	CA1113	CA1013	CA0910	CA1314	CA1509
CA0816	CA0121	CA0217	CA0317	CA0512	CA0423	CA1416	CA1216	CA1114	CA1014	CA0912	CA1315	CA1512
CA0819	CA0123	CA0220	CA0325	CA0514	CA0424	CA1417	CA1217	CA1115	CA1016	CA0913	CA1316	CA1513
CA0822	CA0124	CA0222	CA0327	CA0519	CA0425	CA1418	CA1218	CA1118	CA1017	CA0914	CA1317	CA1514
CA0825	CA0126	CA0225	CA0328	CA0527	CA0426	CA1419	CA1219	CA1119	CA1018	CA0918	CA1318	CA1516
CA0826	CA0128	CA0226	CA0329	CA0529	CA0427	CA1420	CA1220	CA1120	CA1020	CA0919	CA1319	CA1518
