extract	N	ids	ng_uL	DNA	buffer	tot
1	1	CA0906	2.94	7	34.16	41
1	2	CA0914	4.84	5	43.4	48
1	3	CA0102	2.9	7	33.6	41
1	4	CA0108	4.25	5	37.5	42
2	1	CA0201	3.01	7	35.14	42
2	2	CA0303	1.19	17	23.46	40
2	3	CA0401	1.98	11	32.56	44
2	4	CA0502	3.03	7	35.42	42
2	5	CA0205	1.94	11	31.68	43
2	6	CA0805	6.1	4	44.8	49
2	7	CA1207	3.48	6	35.76	42
2	8	CA1106	4.84	5	43.4	48
2	9	CA1007	8.25	3	46.5	50
2	10	CA1309	4.69	5	41.9	47
2	11	CA1402	5.65	4	41.2	45
2	12	CA0308	3.46	6	35.52	42
3	1	AR0617	5.5	4	40	44
3	2	CA1315	7.2	3	40.2	43
3	3	CA0509	5	4	36	40
3	4	AR2202	15.2	3	88.2	91
3	5	AR0910	4.93	5	44.3	49
3	6	AR1115	7.9	3	44.4	47
3	7	AR1511	4.42	5	39.2	44
3	8	AR1612	3.84	6	40.08	46
3	9	AR0511	11.2	3	64.2	67
3	10	AR2711	5	4	36	40
3	11	AR1910	5.95	4	43.6	48
3	12	AR0902	6.25	4	46	50
3	13	AR2614	10.1	3	57.6	61
3	14	AR0501	4.95	5	44.5	50
3	15	AR0814	6.75	3	37.5	40
3	16	AR2512	4.35	5	38.5	44
3	17	AR1506	4.57	5	40.7	46
3	18	AR2009	4.52	5	40.2	45
3	19	CA1410	2.9	7	33.6	41
3	20	AR2502	5.7	4	41.6	46
3	21	AR1915	5.25	4	38	42
3	22	AR0302	7.8	3	43.8	47
3	23	CA1211	12.1	3	69.6	73
3	24	AR1216	2.61	8	33.76	42
4	1	CA0816	3.36	6	34.32	40
4	2	CA0412	2.73	8	35.68	44
4	3	CA1120	5.15	4	37.2	41
4	4	CA1013	14.1	3	81.6	85
4	5	AR1201	3.14	7	36.96	44
4	6	AR1303	5.35	4	38.8	43
4	7	AR1310	5.75	4	42	46
4	8	AR1403	4.15	5	36.5	42
4	9	AR1410	2.4	9	34.2	43
4	10	AR1603	3.13	7	36.82	44
4	11	AR2002	2.82	8	37.12	45
4	12	AR2212	5.5	4	40	44
4	13	AR2305	3.69	6	38.28	44
4	14	AR2316	2.59	8	33.44	41
4	15	AR2603	2.81	8	36.96	45
4	16	AR2704	3.95	6	41.4	47
4	17	AR2913	5.85	4	42.8	47
4	18	AR1103	3.67	6	38.04	44
4	19	AR1002	4.29	5	37.9	43
4	20	AR1016	4.32	5	38.2	43
4	21	AR0804	4.78	5	42.8	48
4	22	AR0602	3.61	6	37.32	43
4	23	AR0311	1.64	13	29.64	43
