extract	N	ids	DNA_added	buffer_added	Qubit_HS_ng_uL
1	1	CA0906	10	20	5.08
1	2	CA0914	10	20	5.28
1	3	CA0102	30	0	9.2
1	4	CA0108	15	15	6.84
2	1	CA0201	15	15	6.44
2	2	CA0303	30	0	8.04
2	3	CA0401	30	0	8.08
2	4	CA0502	25	5	10.3
2	5	CA0205	30	0	7.64
2	6	CA0805	30	0	11.3
2	7	CA1207	15	15	8.68
2	8	CA1106	20	10	8.36
2	9	CA1007	20	10	9.16
2	10	CA1309	20	10	9.24
2	11	CA1402	30	0	12.2
2	12	CA0308	30	0	10
3	1	AR0617	20	10	8.64
3	2	CA1315	15	15	10.4
3	3	CA0509	20	10	7.68
3	4	AR2202	12	18	10.1
3	5	AR0910	20	10	9.56
3	6	AR1115	15	15	9.4
3	7	AR1511	15	15	9.04
3	8	AR1612	15	15	8.6
3	9	AR0511	18	12	10.6
3	10	AR2711	12	18	9.44
3	11	AR1910	15	15	8.64
3	12	AR0902	18	12	9.36
3	13	AR2614	20	10	11.2
3	14	AR0501	12	18	7.48
3	15	AR0814	15	15	9.68
3	16	AR2512	15	15	8.12
3	17	AR1506	25	5	11.2
3	18	AR2009	25	5	10.5
3	19	CA1410	15	15	7.48
3	20	AR2502	18	12	10.9
3	21	AR1915	20	10	10.1
3	22	AR0302	12	18	10.4
3	23	CA1211	15	15	10.1
3	24	AR1216	20	10	9.2
4	1	CA0816	15	15	7.88
4	2	CA0412	25	5	8.76
4	3	CA1120	15	15	6.56
4	4	CA1013	18	12	10.4
4	5	AR1201	12	18	8.36
4	6	AR1303	20	10	9.2
4	7	AR1310	15	15	9.2
4	8	AR1403	15	15	7.96
4	9	AR1410	20	10	7.68
4	10	AR1603	15	15	7.96
4	11	AR2002	15	15	7.28
4	12	AR2212	12	18	8.28
4	13	AR2305	15	15	8.72
4	14	AR2316	20	10	8.36
4	15	AR2603	15	15	7.64
4	16	AR2704	20	10	10.1
4	17	AR2913	12	18	8.56
4	18	AR1103	10	20	6.32
4	19	AR1002	12	18	7.76
4	20	AR1016	10	20	6.88
4	21	AR0804	10	20	6.68
4	22	AR0602	12	18	7.84
4	23	AR0311	20	10	6.6
