Bee_ID,lat,long,popN,indN,Date,Time,toSequence,toWing,enjambre
AR1201,-32.9622222222222,-60.6563888888889,12,01,15.1.18,16:15,TRUE,TRUE,FALSE
AR1202,-32.9622222222222,-60.6563888888889,12,02,15.1.18,16:13,FALSE,FALSE,FALSE
AR1203,-32.9552777777778,-60.6566666666667,12,03,15.1.18,16:42,FALSE,FALSE,FALSE
AR1204,-32.9652777777778,-60.6636111111111,12,04,15.1.18,17:15,FALSE,FALSE,FALSE
AR1205,-32.9575,-60.64,12,05,15.1.18,17:42,TRUE,TRUE,FALSE
AR1206,-32.9597222222222,-60.6277777777778,12,06,15.1.18,17:52,FALSE,FALSE,FALSE
AR1207,-32.9580555555556,-60.63,12,07,15.1.18,18:00,FALSE,FALSE,FALSE
AR1208,-32.9486111111111,-60.6269444444444,12,08,15.1.18,18:05,TRUE,TRUE,FALSE
AR1209,-32.9341666666667,-60.645,12,09,15.1.18,18:35,FALSE,FALSE,FALSE
AR1210,-32.9333333333333,-60.6461111111111,12,10,15.1.18,18:45,TRUE,TRUE,FALSE
AR1211,-32.9263888888889,-60.6613888888889,12,11,15.1.18,19:15,FALSE,FALSE,FALSE
AR1212,-32.9283333333333,-60.6625,12,12,15.1.18,19:10,TRUE,TRUE,FALSE
AR1213,-32.9305555555556,-60.6722222222222,12,13,15.1.18,19:40,FALSE,FALSE,FALSE
AR1214,-32.9097222222222,-60.6877777777778,12,14,16.1.18,8:36,TRUE,TRUE,FALSE
AR1215,-32.8852777777778,-60.695,12,15,16.1.18,8:52,TRUE,TRUE,FALSE
AR1216,-32.8936111111111,-60.7066666666667,12,16,21.1.18,10:27,TRUE,TRUE,FALSE
AR1217,-32.8936111111111,-60.7066666666667,12,17,21.1.18,10:27,FALSE,FALSE,FALSE
AR1218,-32.9719444444444,-60.7194444444444,12,18,21.1.18,10:49,TRUE,TRUE,FALSE
AR1301,-32.7336111111111,-60.7425,13,01,16.1.18,9:43,TRUE,TRUE,FALSE
AR1302,-32.7425,-60.7530555555556,13,02,16.1.18,10:00,TRUE,TRUE,FALSE
AR1303,-32.7091666666667,-60.7477777777778,13,03,16.1.18,10:22,TRUE,TRUE,FALSE
AR1304,-32.7044444444444,-60.7513888888889,13,04,16.1.18,10:47,FALSE,FALSE,FALSE
AR1305,-32.7016666666667,-60.7680555555556,13,05,16.1.18,11:14,TRUE,TRUE,FALSE
AR1306,-32.7072222222222,-60.7791666666667,13,06,16.1.18,11:27,TRUE,TRUE,FALSE
AR1307,-32.6711111111111,-60.7963888888889,13,07,16.1.18,12:00,FALSE,FALSE,FALSE
AR1308,-32.6711111111111,-60.7963888888889,13,08,16.1.18,12:15,FALSE,FALSE,FALSE
AR1309,-32.6711111111111,-60.7955555555556,13,09,16.1.18,12:23,FALSE,FALSE,FALSE
AR1310,-32.6641666666667,-60.7991666666667,13,10,16.1.18,12:37,TRUE,TRUE,FALSE
AR1311,-32.6597222222222,-60.7875,13,11,16.1.18,13:55,TRUE,TRUE,FALSE
AR1312,-32.6677777777778,-60.7938888888889,13,12,16.1.18,14:26,FALSE,FALSE,FALSE
AR1313,-32.6408333333333,-60.8130555555556,13,13,16.1.18,14:34,FALSE,FALSE,FALSE
AR1314,-32.6363888888889,-60.8183333333333,13,14,16.1.18,14:47,TRUE,TRUE,FALSE
AR1315,-32.6369,-60.8147,13,15,21.1.18,9:40,FALSE,FALSE,FALSE
AR1316,-32.6369,-60.8147,13,16,21.1.18,9:46,FALSE,FALSE,FALSE
AR1401,-32.3647222222222,-60.9377777777778,14,01,16.1.18,15:39,TRUE,TRUE,FALSE
AR1402,-32.3513888888889,-60.9402777777778,14,02,16.1.18,15:47,TRUE,TRUE,FALSE
AR1403,-32.3558333333333,-60.9486111111111,14,03,16.1.18,16:03,TRUE,TRUE,TRUE
AR1404,-32.3605555555556,-60.9447222222222,14,04,16.1.18,16:16,FALSE,FALSE,FALSE
AR1405,-32.3605555555556,-60.9447222222222,14,05,16.1.18,16:18,FALSE,FALSE,FALSE
AR1406,-32.2944444444444,-60.9647222222222,14,06,16.1.18,16:40,TRUE,TRUE,FALSE
AR1407,-32.2788888888889,-60.9827777777778,14,07,16.1.18,16:46,TRUE,TRUE,FALSE
AR1408,-32.2613888888889,-60.9780555555556,14,08,16.1.18,16:53,TRUE,TRUE,FALSE
AR1409,-32.2505555555556,-60.9866666666667,14,09,16.1.18,17:00,TRUE,TRUE,FALSE
