Label,Length
RW-D-CA1016-01-29-19,0.8302
RW-R-CA1513-01-29-19,0.87105
RW-H-CA0303-01-22-19,0.84185
RW-R-CA1402-11-07-18,0.88855
RW-S-CA1010-11-07-18,0.87706
RW-B-CA0205-01-22-19,0.7991
RW-S-CA0204-01-22-19,0.84839
RW-F-CA1110-10-31-18,0.90577
RW-H-CA1113-11-28-18,0.89372
RW-D-CA0112-02-15-19,0.84223
RW-H-CA0816-02-15-19,0.8786
RW-D-CA0502-11-28-18,0.77818
RW-W-CA1314-11-28-18,0.85809
RW-F-CA0308-01-22-19,0.84413
RW-W-CA1005-10-31-18,0.9006
RW-E-CA1107-10-31-18,0.85163
RW-T-CA1213-11-07-18,0.85139
RW-B-CA0904-10-31-18,0.84787
RW-H-CA0508-02-15-19,0.83026
RW-Q-CA1001-10-31-18,0.88268
RW-X-CA0914-01-29-19,0.88187
RW-F-CA0805-01-22-19,0.86957
RW-H-CA1309-11-07-18,0.90684
RW-V-CA0202-01-22-19,0.86853
RW-U-CA1309-11-28-18,0.84144
RW-X-CA0427-02-15-19,0.8111
RW-G-CA1013-11-28-18,0.86423
RW-Y-CA0903-10-31-18,0.85055
RW-Q-CA0910-11-28-18,0.88309
RW-R-CA0110-01-22-19,0.851
RW-V-CA1114-11-28-18,0.86274
RW-B-CA1416-02-15-19,0.85855
RW-U-CA0406-01-22-19,0.88086
RW-B-CA1111-11-07-18,0.81087
RW-X-CA1415-11-28-18,0.86817
RW-V-CA1417-02-15-19,0.88303
RW-A-CA1501-10-31-18,0.86641
RW-X-CA0327-02-15-19,0.89047
RW-C-CA0317-02-15-19,0.79619
RW-G-CA1218-01-29-19,0.87166
RW-G-CA0108-01-22-19,0.83608
RW-Q-CA1502-01-29-19,0.89971
RW-R-CA0902-10-31-18,0.84129
RW-Y-CA0527-02-15-19,0.8798
RW-W-CA0504-01-22-19,0.8475
RW-H-CA1512-01-29-19,0.83154
RW-A-CA1212-11-07-18,0.88186
RW-U-CA0412-02-15-19,0.83606
