"Bee_ID"	"Label"	"pixels_per_cm"
"AR0605"	"RW-D-AR0605-05-15-19.JPG"	1527.698
"AR1005"	"RW-C-AR1005-01-25-20.JPG"	1050.093
"AR0602"	"RW-Q-AR_0602-03-07-19.JPG"	1468.001
"CA1120"	"LW-R-CA1120-05-30-19.JPG"	1447.058
"AR0501"	"LW-V-AR_0501-05-01-19.JPG"	1435.176
"CA1313"	"LW-S-CA_1313-11-28-18.JPG"	1431.822
"CA0325"	"RW-Z-CA_0325-02-15-19.JPG"	1420.276
"CA1106"	"RW-X-CA_1106-05-01-19.JPG"	1444.448
"AR1403"	"RW-X-AR_1403-03-14-19.JPG"	1456.664
"AR1019"	"RW-W-AR1019-05-15-19.JPG"	1453.24
"CA1302"	"RW-V-CA_1302-10-31-18..JPG"	1435.214
"CA0412"	"RW-U-CA_0412-02-15-19.JPG"	1422.724
"AR1301"	"RW-S-AR1301-05-01-19.JPG"	1444.448
"AR0613"	"RW-Q-AR0613-05-30-19.JPG"	1446.012
"CA0303"	"RW-H-CA_0303-01-22-19.JPG"	1410.32
"AR2212"	"RW-H-AR_2212-03-14-19.JPG"	1451.012
"AR0804"	"RW-D-AR_0804-03-14-19.JPG"	1544.006
"CA0401"	"RW-C-CA_0401-01-22-19.JPG"	1416.276
"CA0124"	"RW-C-CA_0124-02-15-19.JPG"	1508.43
"CA0121"	"RW-A-CA_0121-02-15-19.JPG"	1506.126
"CA0126"	"LW-X-CA_0126-02-15-19.JPG"	1428.006
"CA0423"	"LW-T-CA_0423-02-15-19.JPG"	1425.264
"CA0226"	"LW-C-CA0226-01-25-20.JPG"	1050.017
"AR2203"	"LW-F-AR2203-05-15-19.JPG"	1440.035
"CA0201"	"LW-C-CA_0201-11-28-18.JPG"	1512.339
"CA1419"	"LW-C-CA1419-02-25-20.JPG"	1048.437
"CA1414"	"LW-C-CA1414-01-25-20.JPG"	1049.009
"CA1305"	"LW-C-CA1305-01-25-20.JPG"	1048.429
"CA1201"	"LW-C-CA1201-01-25-20.JPG"	1052.002
"CA0813"	"LW-C-CA0813-01-25-20.JPG"	1050
"CA0524"	"LW-C-CA0524-01-25-20.JPG"	1050.008
"CA0522"	"LW-C-CA0522-011-25-20.JPG"	1048.002
"CA0413"	"LW-C-CA0413-01-25-20.JPG"	1050.122
"CA0329"	"LW-C-CA0329-01-25-20.JPG"	1052.03
"CA0225"	"LW-C-CA0225-01-25-20.JPG"	1050.122
"AR2904"	"LW-C-AR2904-01-25-20.JPG"	1050.687
"AR2201"	"LW-C-AR2201-01-25-20.JPG"	1052.122
"AR1409"	"LW-C-AR1409-01-25-20.JPG"	1050.069
