"Bee_ID"	"Label"	"type"	"wing_cm"	"length_pixels"	"pixels_per_cm"	"wing"	"date"
"AR0511"	"LW-B-AR_0511-03-14-19.JPG"	"forewing"	0.894464260859268	1291.686	1444.089	"LW"	"03.14.19"
"AR2711"	"LW-B-AR_2711-03-14-19.JPG"	"forewing"	0.853876174781248	1238.351	1450.27	"LW"	"03.14.19"
"CA0509"	"LW-B-CA0509-05-30-19.JPG"	"forewing"	0.86532929069406	1249.77	1444.271	"LW"	"05.30.19"
"CA0220"	"LW-B-CA_0220-02-15-19.JPG"	"forewing"	0.835104512783626	1244.593	1490.344	"LW"	"02.15.19"
"AR1409"	"LW-C-AR1409-01-25-20.JPG"	"forewing"	0.815454032068369	856.283	1050.069	"LW"	"01.25.20"
"AR2201"	"LW-C-AR2201-01-25-20.JPG"	"forewing"	0.798468238474245	840.086	1052.122	"LW"	"01.25.20"
"AR2904"	"LW-C-AR2904-01-25-20.JPG"	"forewing"	0.798254856108432	838.716	1050.687	"LW"	"01.25.20"
"CA0225"	"LW-C-CA0225-01-25-20.JPG"	"forewing"	0.834190694033646	876.002	1050.122	"LW"	"01.25.20"
"CA0226"	"LW-C-CA0226-01-25-20.JPG"	"forewing"	0.814035391807942	854.751	1050.017	"LW"	"01.25.20"
"CA0329"	"LW-C-CA0329-01-25-20.JPG"	"forewing"	0.782686805509349	823.41	1052.03	"LW"	"01.25.20"
"CA0413"	"LW-C-CA0413-01-25-20.JPG"	"forewing"	0.838181658892967	880.193	1050.122	"LW"	"01.25.20"
"CA0522"	"LW-C-CA0522-011-25-20.JPG"	"forewing"	0.817294241804882	856.526	1048.002	"LW"	"011.25.20"
"CA0524"	"LW-C-CA0524-01-25-20.JPG"	"forewing"	0.800504377109508	840.536	1050.008	"LW"	"01.25.20"
"CA0813"	"LW-C-CA0813-01-25-20.JPG"	"forewing"	0.836589523809524	878.419	1050	"LW"	"01.25.20"
"CA1201"	"LW-C-CA1201-01-25-20.JPG"	"forewing"	0.82087106298277	863.558	1052.002	"LW"	"01.25.20"
"CA1305"	"LW-C-CA1305-01-25-20.JPG"	"forewing"	0.802414851172564	841.275	1048.429	"LW"	"01.25.20"
"CA1414"	"LW-C-CA1414-01-25-20.JPG"	"forewing"	0.850610433275596	892.298	1049.009	"LW"	"01.25.20"
"CA1419"	"LW-C-CA1419-02-25-20.JPG"	"forewing"	0.837756584325048	878.335	1048.437	"LW"	"02.25.20"
"CA0201"	"LW-C-CA_0201-11-28-18.JPG"	"forewing"	0.829677076369782	1254.753	1512.339	"LW"	"11.28.18"
"AR2203"	"LW-F-AR2203-05-15-19.JPG"	"forewing"	0.795595940376449	1145.686	1440.035	"LW"	"05.15.19"
"CA0330"	"LW-F-CA0330-05-01-19.JPG"	"forewing"	0.860595689808294	1230.657	1430.006	"LW"	"05.01.19"
"CA1010"	"LW-F-CA1010-05-30-19.JPG"	"forewing"	0.8760643041507	1263.304	1442.022	"LW"	"05.30.19"
"AR2019"	"LW-Q-AR2019-05-01-19.JPG"	"forewing"	0.837154081490752	1203.995	1438.2	"LW"	"05.01.19"
"AR0814"	"LW-Q-AR_0814-03-14-19.JPG"	"forewing"	0.862654587078774	1245.75	1444.089	"LW"	"03.14.19"
"AR2316"	"LW-Q-AR_2316-03-14-19.JPG"	"forewing"	0.838718880925176	1211.152	1444.05	"LW"	"03.14.19"
"CA1120"	"LW-R-CA1120-05-30-19.JPG"	"forewing"	0.889508920858735	1287.171	1447.058	"LW"	"05.30.19"
"AR0910"	"LW-S-AR_0910-03-14-19.JPG"	"forewing"	0.873037592419036	1257.567	1440.45	"LW"	"03.14.19"
"AR1506"	"LW-S-AR_1506-03-14-19.JPG"	"forewing"	0.809294619422572	1233.365	1524	"LW"	"03.14.19"
"CA0306"	"LW-S-CA0306-05-30-19.JPG"	"forewing"	0.841524271324139	1208.598	1436.201	"LW"	"05.30.19"
"CA1313"	"LW-S-CA_1313-11-28-18.JPG"	"forewing"	0.866899656521551	1241.246	1431.822	"LW"	"11.28.18"
"CA0423"	"LW-T-CA_0423-02-15-19.JPG"	"forewing"	0.865259348443516	1233.223	1425.264	"LW"	"02.15.19"
"AR1902"	"LW-U-AR1902-05-30-19.JPG"	"forewing"	0.866779344968724	1246.7	1438.313	"LW"	"05.30.19"
"AR2915"	"LW-U-AR2915-05-30-19.JPG"	"forewing"	0.80665926964376	1158.858	1436.614	"LW"	"05.30.19"
"AR1910"	"LW-U-AR_1910-03-14-19.JPG"	"forewing"	0.84647993986096	1217.239	1438.001	"LW"	"03.14.19"
"CA0918"	"LW-U-CA_0918-01-29-19.JPG"	"forewing"	0.882469212393937	1246.058	1412.013	"LW"	"01.29.19"
"CA1007"	"LW-U-CA_1007-05-01-19.JPG"	"forewing"	0.88020679633512	1258.701	1430.006	"LW"	"05.01.19"
"AR0108"	"LW-X-AR0108-05-15-19.JPG"	"forewing"	0.896788068167262	1295.205	1444.271	"LW"	"05.15.19"
"CA0416"	"LW-X-CA0416-05-30-19.JPG"	"forewing"	0.850790306317583	1223.479	1438.05	"LW"	"05.30.19"
"CA0126"	"LW-X-CA_0126-02-15-19.JPG"	"forewing"	0.861622430157856	1230.402	1428.006	"LW"	"02.15.19"
"CA1408"	"LW-X-CA_1408-01-22-19.JPG"	"forewing"	0.87648274803697	1239.358	1414.013	"LW"	"01.22.19"
"AR1218"	"R-R-AR1218-05-15-19.JPG"	"forewing"	0.857162148499123	1237.761	1444.022	"R"	"05.15.19"
"AR0509"	"RW-A-AR0509-05-30-19.JPG"	"forewing"	0.874310336350183	1262.505	1444.001	"RW"	"05.30.19"
"AR0510"	"RW-A-AR0510-05-30-19.JPG"	"forewing"	0.891718188433572	1284.224	1440.168	"RW"	"05.30.19"
"AR0611"	"RW-A-AR0611-05-01-19.JPG"	"forewing"	0.884710980506523	1271.097	1436.737	"RW"	"05.01.19"
"AR0901"	"RW-A-AR0901-05-15-19.JPG"	"forewing"	0.854455249989296	1237.27	1448.022	"RW"	"05.15.19"
"AR0903"	"RW-A-AR0903-05-30-19.JPG"	"forewing"	0.858144676610718	1240.092	1445.085	"RW"	"05.30.19"
"AR1107"	"RW-A-AR1107-05-01-19.JPG"	"forewing"	0.800325382837378	1210.144	1512.065	"RW"	"05.01.19"
"AR1215"	"RW-A-AR1215-05-01-19.JPG"	"forewing"	0.844457334139328	1208.372	1430.945	"RW"	"05.01.19"
"AR1510"	"RW-A-AR1510-05-30-19.JPG"	"forewing"	0.809464708556832	1232.015	1522.012	"RW"	"05.30.19"
"AR1604"	"RW-A-AR1604-05-30-19.JPG"	"forewing"	0.803900959789107	1225.297	1524.189	"RW"	"05.30.19"
"AR1609"	"RW-A-AR1609-05-15-19.JPG"	"forewing"	0.814058795203425	1244.227	1528.424	"RW"	"05.15.19"
"AR2311"	"RW-A-AR2311-05-15-19.JPG"	"forewing"	0.827154202675486	1193.05	1442.355	"RW"	"05.15.19"
"AR2314"	"RW-A-AR2314-05-30-19.JPG"	"forewing"	0.798043283703523	1216.285	1524.084	"RW"	"05.30.19"
"AR2714"	"RW-A-AR2714-05-30-19.JPG"	"forewing"	0.7904896205385	1203.541	1522.526	"RW"	"05.30.19"
"AR0302"	"RW-A-AR_0302-03-14-19.JPG"	"forewing"	0.88245960296593	1276.056	1446.022	"RW"	"03.14.19"
"AR1216"	"RW-A-AR_1216-03-14-19.JPG"	"forewing"	0.842339320882477	1218.117	1446.112	"RW"	"03.14.19"
"AR1511"	"RW-A-AR_1511-03-14-19.JPG"	"forewing"	0.81081219245561	1237.134	1525.796	"RW"	"03.14.19"
"AR2002"	"RW-A-AR_2002-03-14-19.JPG"	"forewing"	0.794567731174393	1209.023	1521.611	"RW"	"03.14.19"
"AR2009"	"RW-A-AR_2009-03-14-19.JPG"	"forewing"	0.812709273930297	1237.371	1522.526	"RW"	"03.14.19"
"CA1002"	"RW-A-CA1002-05-30-19.JPG"	"forewing"	0.831471687566306	1267.32	1524.189	"RW"	"05.30.19"
"CA0121"	"RW-A-CA_0121-02-15-19.JPG"	"forewing"	0.767946373676572	1156.624	1506.126	"RW"	"02.15.19"
"CA0217"	"RW-A-CA_0217-02-15-19.JPG"	"forewing"	0.842701577727727	1192.057	1414.566	"RW"	"02.15.19"
"CA0505"	"RW-A-CA_0505-01-22-19.JPG"	"forewing"	0.875077527575772	1237.371	1414.013	"RW"	"01.22.19"
"CA0810"	"RW-A-CA_0810-01-22-19.JPG"	"forewing"	0.813132060844731	1208.324	1486.012	"RW"	"01.22.19"
"AR0101"	"RW-B-AR0101-05-01-19.JPG"	"forewing"	0.888362712055568	1276.006	1436.357	"RW"	"05.01.19"
"AR1007"	"RW-B-AR1007-05-30-19.JPG"	"forewing"	0.859097037805032	1235.458	1438.089	"RW"	"05.30.19"
"AR1101"	"RW-B-AR1101-05-30-19.JPG"	"forewing"	0.865127085895386	1245.86	1440.089	"RW"	"05.30.19"
"AR1106"	"RW-B-AR1106-05-30-19.JPG"	"forewing"	0.78268585337255	1188.168	1518.065	"RW"	"05.30.19"
"AR1210"	"RW-B-AR1210-05-01-19.JPG"	"forewing"	0.801702043918729	1214.015	1514.297	"RW"	"05.01.19"
"AR1305"	"RW-B-AR1305-05-15-19.JPG"	"forewing"	0.861541330147407	1247.542	1448.035	"RW"	"05.15.19"
"AR1518"	"RW-B-AR1518-05-30-19.JPG"	"forewing"	0.859243438160951	1239.072	1442.05	"RW"	"05.30.19"
"AR1605"	"RW-B-AR1605-05-01-19.JPG"	"forewing"	0.818320490741584	1177.001	1438.313	"RW"	"05.01.19"
"AR2008"	"RW-B-AR2008-05-15-19.JPG"	"forewing"	0.856572035996357	1236.92	1444.035	"RW"	"05.15.19"
"AR2209"	"RW-B-AR2209-05-15-19.JPG"	"forewing"	0.803909554686911	1226.77	1526.005	"RW"	"05.15.19"
"AR2901"	"RW-B-AR2901-05-15-19.JPG"	"forewing"	0.785468036042892	1197.285	1524.295	"RW"	"05.15.19"
"AR1410"	"RW-B-AR_1410-03-14-19.JPG"	"forewing"	0.788680178116028	1199.607	1521.031	"RW"	"03.14.19"
"CA0205"	"RW-B-CA_0205-01-22-19.JPG"	"forewing"	0.804888037952193	1202.745	1494.301	"RW"	"01.22.19"
"CA0801"	"RW-B-CA_0801-01-22-19.JPG"	"forewing"	0.894213501240545	1263.242	1412.685	"RW"	"01.22.19"
"CA0904"	"RW-B-CA_0904-10-31-18.JPG"	"forewing"	0.857910540120527	1220.026	1422.09	"RW"	"10.31.18"
"CA1111"	"RW-B-CA_1111-11-07-18.JPG"	"forewing"	0.815209727941201	1224.498	1502.065	"RW"	"11.07.18"
"CA1211"	"RW-B-CA_1211-11-07-18.JPG"	"forewing"	0.89212475554021	1268.613	1422.013	"RW"	"11.07.18"
"CA1317"	"RW-B-CA_1317-01-29-19.JPG"	"forewing"	0.853953146160099	1274.391	1492.343	"RW"	"01.29.19"
"CA1416"	"RW-B-CA_1416-02-15-19.JPG"	"forewing"	0.863949954837603	1223.354	1416.001	"RW"	"02.15.19"
"AR0105"	"RW-C-AR0105-05-01-19.JPG"	"forewing"	0.83858635078585	1266.283	1510.021	"RW"	"05.01.19"
"AR0111"	"RW-C-AR0111-01-25-20.JPG"	"forewing"	0.836247682908059	874.741	1046.031	"RW"	"01.25.20"
"AR0312"	"RW-C-AR0312-05-01-19.JPG"	"forewing"	0.846438689992669	1281.669	1514.19	"RW"	"05.01.19"
"AR0504"	"RW-C-AR0504-01-25-20.JPG"	"forewing"	0.863412149457078	906.872	1050.335	"RW"	"01.25.20"
"AR0513"	"RW-C-AR0513-05-30-19.JPG"	"forewing"	0.825436155696355	1251.575	1516.259	"RW"	"05.30.19"
"AR1005"	"RW-C-AR1005-01-25-20.JPG"	"forewing"	0.828815162085644	870.333	1050.093	"RW"	"01.25.20"
"AR1008"	"RW-C-AR1008-05-15-19.JPG"	"forewing"	0.796224409448819	1213.446	1524	"RW"	"05.15.19"
"AR1113"	"RW-C-AR1113-05-30-19.JPG"	"forewing"	0.837356625487205	1269.472	1516.047	"RW"	"05.30.19"
"AR1214"	"RW-C-AR1214-01-25-20.JPG"	"forewing"	0.788229591753978	826.119	1048.069	"RW"	"01.25.20"
"AR1601"	"RW-C-AR1601-05-15-19.JPG"	"forewing"	0.795042784009082	1210.106	1522.064	"RW"	"05.15.19"
"AR1606"	"RW-C-AR1606-05-30-19.JPG"	"forewing"	0.788290122648653	1198.227	1520.033	"RW"	"05.30.19"
"AR2007"	"RW-C-AR2007-01-25-20.JPG"	"forewing"	0.797081813046731	835.38	1048.048	"RW"	"01.25.20"
"AR1016"	"RW-C-AR_1016-03-14-19.JPG"	"forewing"	0.813434909872175	1238.052	1522.005	"RW"	"03.14.19"
"CA0321"	"RW-C-CA0321-01-25-20.JPG"	"forewing"	0.823815233467649	865.02	1050.017	"RW"	"01.25.20"
"CA1209"	"RW-C-CA1209-05-30-19.JPG"	"forewing"	0.830210827599609	1260.314	1518.065	"RW"	"05.30.19"
"CA0124"	"RW-C-CA_0124-02-15-19.JPG"	"forewing"	0.787734266754175	1188.242	1508.43	"RW"	"02.15.19"
"CA0317"	"RW-C-CA_0317-02-15-19.JPG"	"forewing"	0.803420138027909	1198.833	1492.162	"RW"	"02.15.19"
"CA0401"	"RW-C-CA_0401-01-22-19.JPG"	"forewing"	0.880283221631942	1246.724	1416.276	"RW"	"01.22.19"
