 ,Label,Angle,Length
1,120-1-9.bmp,174.184,542.794
2,121-5-9.bmp,-164.465,556.325
3,1272-1-21.bmp,-163.236,509.660
4,1274-1-21.bmp,-173.448,508.320
5,1357-1-1.bmp,-172.240,548.019
6,1448-1-1.bmp,-7.150,570.436
7,160-1-21.bmp,-175.181,511.810
8,1794-1-1.bmp,-175.438,565.792
9,1795-1-1.bmp,-175.483,558.735
10,180-1-21.bmp,-173.258,519.593
11,204-1-6.bmp,-167.178,572.270
12,216-1-6.bmp,178.558,556.176
13,220-1-6.bmp,8.218,552.675
14,225-1-6.bmp,176.494,556.040
15,227-1-6.bmp,-171.588,546.883
16,247-5-6.bmp,173.683,554.366
17,252-5-6.bmp,-179.362,539.033
18,256-1-6.bmp,-173.266,545.766
19,258-1-6.bmp,177.813,550.401
20,262-5-9.bmp,178.759,554.130
21,308-1-1.bmp,-169.776,569.035
22,375-5-21.bmp,-179.034,534.076
23,377-1-21.bmp,-174.301,513.539
24,378-1-21.bmp,-149.246,514.328
25,379-1-21.bmp,-165.509,519.528
26,380-5-21.bmp,-162.480,514.884
27,390-1-1.bmp,-166.528,566.591
28,392-1-1.bmp,-172.721,552.453
29,397-5-1.bmp,-164.700,560.879
30,398-5-1.bmp,-162.400,542.388
31,399-1-1.bmp,-171.122,563.753
32,401-1-1.bmp,-166.345,546.445
33,434-5-6.bmp,-172.309,552.974
34,458-5-2.bmp,163.361,544.812
35,468-6-2.bmp,171.142,545.506
36,562-5-1.bmp,179.076,558.073
37,563-1-1.bmp,178.406,539.209
38,615-1-25.bmp,7.681,523.699
39,616-1-25.bmp,-165.505,515.405
40,644-3-9.bmp,-172.644,554.564
41,670-1-6.bmp,-174.090,543.891
42,674-1-6.bmp,7.588,567.974
43,676-1-6.bmp,-178.665,558.151
44,679-2-6.bmp,-2.556,560.558
45,685-3-6.bmp,-173.616,575.569
46,861-1-21.bmp,-176.634,510.882
47,914-1-9.bmp,-171.749,536.554
48,915-1-9.bmp,4.764,553.913
49,917-1-9.bmp,-167.788,548.409
50,919-1-9.bmp,-173.191,539.807
51,920-1-9.bmp,-171.311,536.154
52,924-1-9.bmp,-165.294,539.679
53,925-1-9.bmp,-178.658,555.152
54,Masstab_1107-Sud-Afrika-21.bmp,0.264,650.007
