 ,Label,Angle,Length
1,LW-B-AR_0511-03-14-19.JPG,11.884,1291.686
2,LW-B-AR_2711-03-14-19.JPG,18.552,1238.351
3,LW-B-CA0509-05-30-19.JPG,9.673,1249.770
4,LW-B-CA_0220-02-15-19.JPG,6.737,1244.593
5,LW-C-AR1409-01-25-20.JPG,1.472,856.283
6,LW-C-AR2201-01-25-20.JPG,-0.818,840.086
7,LW-C-AR2904-01-25-20.JPG,14.500,838.716
8,LW-C-CA0225-01-25-20.JPG,-0.131,876.002
9,LW-C-CA0226-01-25-20.JPG,6.044,854.751
10,LW-C-CA0329-01-25-20.JPG,10.355,823.410
11,LW-C-CA0413-01-25-20.JPG,9.548,880.193
12,LW-C-CA0522-011-25-20.JPG,2.007,856.526
13,LW-C-CA0524-01-25-20.JPG,2.045,840.536
14,LW-C-CA0813-01-25-20.JPG,5.750,878.419
15,LW-C-CA1201-01-25-20.JPG,15.034,863.558
16,LW-C-CA1305-01-25-20.JPG,12.913,841.275
17,LW-C-CA1414-01-25-20.JPG,4.113,892.298
18,LW-C-CA1419-02-25-20.JPG,-4.179,878.335
19,LW-C-CA_0201-11-28-18.JPG,11.399,1254.753
20,LW-F-AR2203-05-15-19.JPG,5.711,1145.686
21,LW-F-CA0330-05-01-19.JPG,13.630,1230.657
22,LW-F-CA1010-05-30-19.JPG,10.029,1263.304
23,LW-Q-AR2019-05-01-19.JPG,5.720,1203.995
24,LW-Q-AR_0814-03-14-19.JPG,3.037,1245.750
25,LW-Q-AR_2316-03-14-19.JPG,8.451,1211.152
26,LW-R-CA1120-05-30-19.JPG,15.224,1287.171
27,LW-S-AR_0910-03-14-19.JPG,12.865,1257.567
28,LW-S-AR_1506-03-14-19.JPG,2.695,1233.365
29,LW-S-CA0306-05-30-19.JPG,1.802,1208.598
30,LW-S-CA_1313-11-28-18.JPG,5.270,1241.246
31,LW-T-CA_0423-02-15-19.JPG,7.736,1233.223
32,LW-U-AR1902-05-30-19.JPG,3.771,1246.700
33,LW-U-AR2915-05-30-19.JPG,5.248,1158.858
34,LW-U-AR_1910-03-14-19.JPG,13.009,1217.239
35,LW-U-CA_0918-01-29-19.JPG,7.285,1246.058
36,LW-U-CA_1007-05-01-19.JPG,-1.912,1258.701
37,LW-X-AR0108-05-15-19.JPG,7.542,1295.205
38,LW-X-CA0416-05-30-19.JPG,9.124,1223.479
39,LW-X-CA_0126-02-15-19.JPG,9.922,1230.402
40,LW-X-CA_1408-01-22-19.JPG,-2.682,1239.358
41,R-R-AR1218-05-15-19.JPG,3.057,1237.761
42,RW-A-AR0509-05-30-19.JPG,-5.819,1262.505
43,RW-A-AR0510-05-30-19.JPG,1.071,1284.224
44,RW-A-AR0611-05-01-19.JPG,8.232,1271.097
45,RW-A-AR0901-05-15-19.JPG,9.584,1237.270
46,RW-A-AR0903-05-30-19.JPG,3.328,1240.092
47,RW-A-AR1107-05-01-19.JPG,3.411,1210.144
48,RW-A-AR1215-05-01-19.JPG,6.749,1208.372
49,RW-A-AR1510-05-30-19.JPG,0.279,1232.015
50,RW-A-AR1604-05-30-19.JPG,7.786,1225.297
51,RW-A-AR1609-05-15-19.JPG,8.039,1244.227
52,RW-A-AR2311-05-15-19.JPG,7.804,1193.050
53,RW-A-AR2314-05-30-19.JPG,4.811,1216.285
54,RW-A-AR2714-05-30-19.JPG,10.339,1203.541
55,RW-A-AR_0302-03-14-19.JPG,0.539,1276.056
56,RW-A-AR_1216-03-14-19.JPG,15.816,1218.117
57,RW-A-AR_1511-03-14-19.JPG,4.079,1237.134
58,RW-A-AR_2002-03-14-19.JPG,9.042,1209.023
59,RW-A-AR_2009-03-14-19.JPG,12.509,1237.371
60,RW-A-CA1002-05-30-19.JPG,5.252,1267.320
61,RW-A-CA_0121-02-15-19.JPG,1.883,1156.624
62,RW-A-CA_0217-02-15-19.JPG,12.894,1192.057
63,RW-A-CA_0505-01-22-19.JPG,12.509,1237.371
64,RW-A-CA_0810-01-22-19.JPG,1.328,1208.324
65,RW-B-AR0101-05-01-19.JPG,0.180,1276.006
66,RW-B-AR1007-05-30-19.JPG,5.388,1235.458
67,RW-B-AR1101-05-30-19.JPG,4.512,1245.860
68,RW-B-AR1106-05-30-19.JPG,0.964,1188.168
69,RW-B-AR1210-05-01-19.JPG,0.283,1214.015
70,RW-B-AR1305-05-15-19.JPG,-2.849,1247.542
71,RW-B-AR1518-05-30-19.JPG,5.186,1239.072
72,RW-B-AR1605-05-01-19.JPG,4.093,1177.001
73,RW-B-AR2008-05-15-19.JPG,7.619,1236.920
74,RW-B-AR2209-05-15-19.JPG,166.326,1226.770
75,RW-B-AR2901-05-15-19.JPG,7.873,1197.285
76,RW-B-AR_1410-03-14-19.JPG,10.373,1199.607
77,RW-B-CA_0205-01-22-19.JPG,9.572,1202.745
78,RW-B-CA_0801-01-22-19.JPG,9.477,1263.242
79,RW-B-CA_0904-10-31-18.JPG,12.305,1220.026
80,RW-B-CA_1111-11-07-18.JPG,7.508,1224.498
81,RW-B-CA_1211-11-07-18.JPG,8.705,1268.613
82,RW-B-CA_1317-01-29-19.JPG,-6.579,1274.391
83,RW-B-CA_1416-02-15-19.JPG,14.195,1223.354
84,RW-C-AR0105-05-01-19.JPG,3.441,1266.283
85,RW-C-AR0111-01-25-20.JPG,2.359,874.741
86,RW-C-AR0312-05-01-19.JPG,6.271,1281.669
87,RW-C-AR0504-01-25-20.JPG,8.881,906.872
88,RW-C-AR0513-05-30-19.JPG,5.410,1251.575
89,RW-C-AR1005-01-25-20.JPG,9.657,870.333
90,RW-C-AR1008-05-15-19.JPG,16.075,1213.446
91,RW-C-AR1113-05-30-19.JPG,13.576,1269.472
92,RW-C-AR1214-01-25-20.JPG,-0.971,826.119
93,RW-C-AR1601-05-15-19.JPG,0.758,1210.106
94,RW-C-AR1606-05-30-19.JPG,-5.844,1198.227
95,RW-C-AR2007-01-25-20.JPG,3.294,835.380
96,RW-C-AR_1016-03-14-19.JPG,8.641,1238.052
97,RW-C-CA0321-01-25-20.JPG,2.783,865.020
98,RW-C-CA1209-05-30-19.JPG,5.738,1260.314
99,RW-C-CA_0124-02-15-19.JPG,20.082,1188.242
100,RW-C-CA_0317-02-15-19.JPG,9.022,1198.833
101,RW-C-CA_0401-01-22-19.JPG,20.470,1246.724
102,RW-C-CA_0519-02-15-19.JPG,3.782,1182.575
103,RW-C-CA_0919-01-29-19.JPG,2.632,1219.287
104,RW-D-AR0605-01-25-20.JPG,6.483,885.664
105,RW-D-AR0605-05-15-19.JPG,5.808,1284.595
106,RW-D-AR0606-05-15-19.JPG,-3.270,1191.941
107,RW-D-AR1109-05-01-19.JPG,1.345,1278.352
108,RW-D-AR1905-05-01-19.JPG,-2.690,1193.315
109,RW-D-AR2513-01-25-20.JPG,2.279,804.637
110,RW-D-AR2515-05-30-19.JPG,11.529,1230.834
111,RW-D-AR2716-05-30-19.JPG,-5.645,1219.916
112,RW-D-AR_0804-03-14-19.JPG,11.902,1289.729
113,RW-D-CA_0102-01-22-19.JPG,21.961,1203.310
114,RW-D-CA_0502-11-28-18.JPG,3.865,1186.700
115,RW-D-CA_1115-01-29-19.JPG,13.616,1257.338
116,RW-E-AR1306-05-15-19.JPG,4.013,1229.013
117,RW-E-AR1314-05-30-19.JPG,8.568,1221.633
118,RW-E-AR1614-05-01-19.JPG,13.224,1162.833
119,RW-E-AR2016-05-30-19.JPG,3.852,1220.757
120,RW-E-AR2601-05-30-19.JPG,13.442,1170.055
121,RW-E-AR2703-05-01-19.JPG,11.402,1213.960
122,RW-E-AR_2603-03-14-19.JPG,11.348,1168.852
123,RW-E-CA1015-05-30-19.JPG,6.221,1273.499
124,RW-F-AR0813-05-15-19.JPG,-5.356,1221.332
125,RW-F-AR0913-05-30-19.JPG,4.611,1244.026
126,RW-F-AR2006-05-30-19.JPG,8.589,1165.067
127,RW-F-AR2611-05-30-19.JPG,4.445,1135.415
128,RW-F-AR2612-05-30-19.JPG,11.889,1203.822
129,RW-F-AR2613-05-01-19.JPG,5.301,1169.000
130,RW-F-AR_0902-03-14-19.JPG,-3.079,1265.828
131,RW-F-CA1122-05-15-19.JPG,3.656,1254.553
132,RW-F-CA_0308-01-22-19.JPG,0.383,1196.027
133,RW-F-CA_0512-02-15-19.JPG,7.614,1192.513
134,RW-F-CA_0805-01-22-19.JPG,15.856,1237.071
135,RW-G-AR0110-05-01-19.JPG,5.838,1160.017
136,RW-G-AR0907-05-30-19.JPG,16.144,1265.923
137,RW-G-AR1017-05-01-19.JPG,11.908,1201.865
138,RW-G-AR1509-05-30-19.JPG,19.022,1172.002
139,RW-G-AR2313-05-30-19.JPG,6.643,1210.126
140,RW-G-AR2511-05-15-19.JPG,10.118,1206.768
141,RW-G-AR2609-05-30-19.JPG,4.671,1228.078
142,RW-G-AR2903-05-15-19.JPG,2.251,1170.904
143,RW-G-AR_1915-03-14-19.JPG,6.683,1254.525
144,RW-G-AR_2913-03-14-19.JPG,4.509,1195.701
145,RW-G-CA_0819-02-15-19.JPG,0.661,1214.081
146,RW-G-CA_0825-02-15-19.JPG,-7.503,1240.622
147,RW-G-CA_1013-11-28-18.JPG,11.879,1224.217
148,RW-G-CA_1218-01-29-19.JPG,-1.015,1242.195
149,RW-G-CA_1307-10-31-18.JPG,14.482,1247.641
